tweetid,sentiment
169760,2
35326,1
224985,2
476263,1
872928,0
75639,2
211536,0
569434,2
315368,2
591733,2
91983,-1
67249,-1
143459,2
663535,0
20476,0
815297,0
274098,1
30045,1
681487,-1
708966,2
393689,2
186705,2
233977,1
525794,1
863649,1
315964,0
588985,1
669979,-1
137059,2
556915,2
951973,2
72939,1
205796,-1
478581,-1
453375,2
555551,1
219030,0
546209,2
416919,-1
433824,2
621526,2
616108,1
70943,0
153248,0
854719,-1
616444,1
118418,2
846132,-1
443106,-1
758958,1
376412,-1
667731,1
222107,2
349545,2
284026,2
564727,-1
522979,2
460970,0
371750,1
251299,2
485211,1
502976,1
623282,0
217605,1
225330,-1
58854,-1
723671,2
366409,1
704565,0
655925,0
717618,2
922449,2
729885,2
599133,2
89885,0
249039,-1
440750,-1
18663,-1
314549,2
643414,2
61835,-1
659073,1
178597,0
152298,2
581943,-1
781913,-1
336886,1
624852,0
655116,2
5591,1
731620,0
872882,2
320393,2
353463,2
816508,2
636325,-1
53058,0
725589,0
693559,1
66255,2
218797,-1
307092,-1
188557,0
137392,-1
597086,1
96006,-1
330509,1
78639,2
536231,1
304814,1
553696,1
455898,0
745466,2
846719,2
722710,0
989172,2
492079,1
315869,2
32675,0
959684,0
641938,2
933443,1
458401,-1
554994,1
461467,0
902353,0
178794,1
387356,-1
380276,1
824355,2
685606,0
85488,0
50608,0
447977,1
943930,2
183083,1
359626,1
810128,1
380913,0
516209,1
993538,0
594772,1
22428,2
991876,0
504172,1
283272,1
914599,0
752129,1
701957,0
858489,-1
221704,2
409406,0
468372,-1
818509,2
204729,1
394896,-1
397593,1
465474,-1
450344,2
502719,0
816499,1
291002,1
301225,2
402773,-1
81233,2
642569,1
900041,0
67900,-1
237131,0
311030,2
975455,0
69232,1
156024,1
268543,2
586693,-1
709157,1
582003,2
689136,1
953619,-1
971710,2
809619,1
595597,2
274499,2
771063,2
597739,2
110053,0
723442,0
881554,0
704923,2
822018,2
505322,2
120776,2
404757,1
811053,2
317696,2
734766,1
841196,0
400682,0
649511,2
740566,0
798359,0
861578,2
5417,2
609894,0
174874,2
227482,2
316886,2
112798,2
44507,0
444423,0
878768,1
951095,1
970445,1
208227,1
545402,-1
498559,1
454769,-1
490905,1
343981,0
891649,1
794296,2
669149,2
104997,-1
54711,0
756770,1
632633,2
882503,1
604089,1
37591,-1
304290,-1
167356,-1
398680,2
268980,0
485450,0
246743,1
83632,0
804653,1
614272,1
699619,2
128361,-1
617614,1
756863,2
550624,2
971913,-1
597102,-1
468901,2
512603,0
869,2
135515,0
471002,1
76054,1
835455,0
593722,2
209903,-1
311687,2
38624,1
140169,2
50739,1
134179,1
368885,2
955073,1
642519,0
849811,1
377434,0
61946,0
128149,1
545779,2
145812,1
839220,1
23630,0
631635,2
659284,0
636800,-1
246233,1
224961,2
227170,1
24500,-1
444613,1
173797,1
183700,1
305251,2
487336,0
521403,2
741971,1
171732,0
354162,2
572875,1
337961,-1
39327,2
666488,-1
686787,1
248289,1
644357,2
106812,2
492300,2
929522,2
827492,0
92888,0
748860,1
544547,0
970736,-1
805808,2
320551,-1
210944,1
109631,2
251292,0
170364,0
948426,-1
780776,0
693604,1
799998,-1
373943,-1
593149,2
264289,2
479344,0
820909,2
492817,-1
831733,1
405413,0
685176,2
982870,-1
92655,-1
929710,-1
365298,1
597644,2
908494,0
532450,2
431470,1
261786,0
126953,1
157454,2
911863,2
968491,0
341684,-1
868000,-1
937870,2
196243,0
749947,0
10201,0
861465,2
418775,2
561942,0
61831,2
224428,2
470738,1
694377,0
557591,-1
504856,1
988980,-1
811937,2
78955,2
166783,1
2520,-1
268418,0
911873,2
380946,0
841067,-1
760341,0
872864,1
833511,2
795400,2
947288,2
97754,0
848402,0
77036,2
280663,1
654324,2
105628,2
227665,2
169839,2
334216,-1
502105,-1
174279,2
193681,0
457324,0
562231,-1
254480,0
432635,2
916814,-1
217862,-1
454694,1
512554,2
249736,-1
979904,1
841942,2
141852,2
279014,-1
511552,1
502057,2
822243,0
586976,2
870627,1
809260,1
258979,-1
342572,1
833715,1
63205,-1
327,1
286773,0
831328,2
265516,1
988076,1
92963,1
813089,-1
372840,2
460869,2
700900,2
54421,-1
83811,1
932229,1
14731,0
416245,0
91717,1
37782,0
168950,0
791767,2
612474,1
863569,1
833620,2
831050,2
327186,2
70954,2
744906,1
410805,1
321290,1
560166,0
199999,1
520958,0
486093,2
433768,-1
170942,0
97769,2
574580,-1
427983,0
536786,0
64572,1
932658,2
875904,2
388184,0
448406,1
280094,2
196585,1
297123,2
583405,1
749358,0
8540,2
92130,-1
682459,0
493774,1
81514,2
937131,2
683822,2
181932,0
185061,1
718905,0
467768,-1
50360,1
37282,-1
324725,1
587613,0
759085,2
995304,-1
62430,-1
959472,2
134816,1
443799,1
84144,2
626595,1
382192,1
249680,2
209100,2
505060,1
510212,0
454150,0
900706,2
355447,0
415557,1
431394,2
796461,2
551013,0
71926,2
260753,-1
883406,0
973790,2
673020,2
573493,1
850799,1
596499,0
430720,2
970612,1
645141,1
122672,1
572212,2
590281,-1
185082,-1
643999,2
276142,1
522428,2
242869,1
859835,2
179238,2
830861,0
659715,0
742214,1
44768,1
156753,0
689726,0
659825,1
805236,1
484743,1
843791,1
401342,1
268165,1
450971,-1
969588,2
