tweetid,sentiment
169760,0
35326,0
224985,2
476263,0
872928,0
75639,2
211536,1
569434,2
315368,2
591733,1
91983,-1
67249,1
143459,1
663535,0
20476,0
815297,0
274098,1
30045,2
681487,-1
708966,2
393689,2
186705,2
233977,1
525794,1
863649,1
315964,-1
588985,0
669979,-1
137059,2
556915,0
951973,2
72939,0
205796,-1
478581,-1
453375,0
555551,1
219030,0
546209,2
416919,-1
433824,0
621526,2
616108,0
70943,1
153248,1
854719,1
616444,1
118418,1
846132,-1
443106,0
758958,0
376412,-1
667731,0
222107,0
349545,1
284026,2
564727,-1
522979,0
460970,1
371750,0
251299,-1
485211,1
502976,1
623282,0
217605,1
225330,-1
58854,-1
723671,2
366409,2
704565,2
655925,0
717618,2
922449,2
729885,2
599133,1
89885,0
249039,-1
440750,-1
18663,-1
314549,2
643414,2
61835,1
659073,1
178597,1
152298,0
581943,-1
781913,-1
336886,1
624852,0
655116,1
5591,0
731620,0
872882,1
320393,1
353463,1
816508,1
636325,-1
53058,2
725589,0
693559,2
66255,1
218797,0
307092,-1
188557,1
137392,-1
597086,1
96006,-1
330509,1
78639,-1
536231,1
304814,1
553696,1
455898,0
745466,2
846719,2
722710,0
989172,0
492079,1
315869,0
32675,0
959684,0
641938,0
933443,1
458401,0
554994,0
461467,-1
902353,0
178794,1
387356,0
380276,1
824355,0
685606,0
85488,0
50608,1
447977,1
943930,1
183083,1
359626,0
810128,1
380913,0
516209,-1
993538,0
594772,2
22428,2
991876,-1
504172,1
283272,1
914599,-1
752129,1
701957,-1
858489,0
221704,1
409406,-1
468372,1
818509,1
204729,1
394896,-1
397593,0
465474,1
450344,2
502719,0
816499,1
291002,1
301225,2
402773,0
81233,1
642569,1
900041,0
67900,-1
237131,0
311030,1
975455,2
69232,2
156024,2
268543,2
586693,-1
709157,1
582003,0
689136,1
953619,1
971710,1
809619,0
595597,1
274499,1
771063,1
597739,0
110053,2
723442,0
881554,0
704923,1
822018,1
505322,2
120776,0
404757,0
811053,2
317696,-1
734766,1
841196,1
400682,0
649511,0
740566,1
798359,0
861578,0
5417,0
609894,0
174874,2
227482,0
316886,0
112798,1
44507,0
444423,0
878768,0
951095,-1
970445,1
208227,1
545402,-1
498559,1
454769,1
490905,1
343981,0
891649,2
794296,2
669149,0
104997,1
54711,1
756770,2
632633,2
882503,0
604089,2
37591,-1
304290,-1
167356,0
398680,1
268980,0
485450,0
246743,2
83632,-1
804653,0
614272,1
699619,2
128361,2
617614,1
756863,2
550624,2
971913,-1
597102,0
468901,-1
512603,0
869,2
135515,-1
471002,2
76054,0
835455,0
593722,1
209903,1
311687,2
38624,1
140169,1
50739,1
134179,0
368885,0
955073,0
642519,0
849811,1
377434,2
61946,0
128149,0
545779,2
145812,1
839220,1
23630,2
631635,0
659284,0
636800,0
246233,0
224961,2
227170,-1
24500,-1
444613,1
173797,1
183700,1
305251,2
487336,0
521403,2
741971,1
171732,-1
354162,2
572875,1
337961,2
39327,0
666488,1
686787,-1
248289,0
644357,2
106812,2
492300,1
929522,-1
827492,0
92888,0
748860,1
544547,0
970736,-1
805808,0
320551,0
210944,0
109631,2
251292,0
170364,0
948426,-1
780776,1
693604,1
799998,-1
373943,-1
593149,1
264289,-1
479344,0
820909,1
492817,-1
831733,1
405413,1
685176,2
982870,-1
92655,-1
929710,-1
365298,1
597644,0
908494,0
532450,1
431470,0
261786,1
126953,1
157454,2
911863,1
968491,0
341684,-1
868000,-1
937870,1
196243,0
749947,0
10201,0
861465,1
418775,1
561942,-1
61831,2
224428,2
470738,0
694377,0
557591,-1
504856,1
988980,1
811937,0
78955,1
166783,1
2520,0
268418,1
911873,2
380946,0
841067,-1
760341,0
872864,1
833511,-1
795400,1
947288,1
97754,0
848402,0
77036,2
280663,1
654324,1
105628,2
227665,1
169839,0
334216,-1
502105,2
174279,-1
193681,0
457324,0
562231,1
254480,1
432635,1
916814,-1
217862,1
454694,1
512554,1
249736,0
979904,1
841942,1
141852,1
279014,0
511552,1
502057,0
822243,0
586976,2
870627,1
809260,1
258979,-1
342572,1
833715,1
63205,1
327,1
286773,1
831328,2
265516,1
988076,1
92963,1
813089,1
372840,2
460869,1
700900,2
54421,-1
83811,1
932229,1
14731,1
416245,0
91717,1
37782,1
168950,2
791767,2
612474,1
863569,1
833620,0
831050,0
327186,2
70954,1
744906,2
410805,1
321290,1
560166,0
199999,0
520958,1
486093,0
433768,-1
170942,1
97769,2
574580,0
427983,0
536786,1
64572,0
932658,0
875904,2
388184,1
448406,0
280094,1
196585,1
297123,0
583405,0
749358,-1
8540,2
92130,-1
682459,0
493774,1
81514,1
937131,0
683822,1
181932,0
185061,1
718905,0
467768,-1
50360,1
37282,-1
324725,1
587613,2
759085,0
995304,-1
62430,-1
959472,2
134816,0
443799,1
84144,2
626595,1
382192,-1
249680,2
209100,0
505060,0
510212,0
454150,-1
900706,2
355447,0
415557,1
431394,1
796461,2
551013,0
71926,2
260753,-1
883406,0
973790,2
673020,0
573493,1
850799,1
596499,0
430720,1
970612,1
645141,1
122672,1
572212,1
590281,-1
185082,-1
643999,1
276142,0
522428,-1
242869,1
859835,1
179238,0
830861,0
659715,-1
742214,-1
44768,1
156753,0
689726,0
659825,0
805236,0
484743,1
843791,1
401342,1
268165,0
450971,1
969588,2
493909,1
775367,1
102955,2
356595,0
860992,2
478186,2
235851,0
859554,1
383555,0
568803,-1
522415,-1
493050,-1
568528,0
371027,0
554560,0
969599,0
70097,1
898167,1
483103,-1
773089,1
436540,0
214657,0
824653,1
132616,1
962166,2
357327,1
183595,1
338190,0
821753,-1
782634,2
355771,1
102889,0
335544,2
417438,1
99418,0
774033,0
151834,1
573075,1
675187,-1
488287,1
317596,0
848773,1
177318,0
743728,0
166017,-1
668192,0
242646,2
572824,0
516374,-1
569974,0
368987,1
35989,1
439267,0
425036,1
978741,-1
161511,2
158819,0
225262,2
398562,0
940439,-1
657384,1
348631,-1
950221,1
390207,1
633050,0
45603,1
892219,0
763551,1
219247,-1
78219,2
106376,0
664990,0
61204,1
444521,2
162744,1
10394,0
107336,0
400960,1
157258,2
762553,1
398197,0
513701,-1
450710,0
192494,-1
376697,2
466375,0
600809,-1
337306,1
597597,1
282282,0
619747,-1
848426,0
468720,0
954154,0
544640,1
192358,-1
768797,1
817583,-1
864589,1
104220,2
725297,0
973859,1
942269,0
145192,0
965827,1
861437,0
296887,-1
817495,-1
273994,0
799474,0
177872,1
532392,2
770417,0
706812,1
193396,0
863034,2
967152,-1
948038,0
608126,0
412897,2
970466,-1
604868,1
94532,2
820173,-1
833762,2
604371,0
961064,0
419528,0
79982,0
564369,0
489017,1
887262,0
402712,-1
963864,-1
854765,-1
331759,1
26332,1
238943,1
431614,1
329434,1
680680,0
39578,1
670432,1
371166,1
686203,2
118985,1
263823,1
275604,2
390449,0
553573,2
159171,2
172630,2
867879,1
555667,0
107607,2
671813,1
29467,0
424298,1
247885,-1
66440,0
794065,1
383354,0
73974,-1
597362,2
873587,0
755011,1
736998,0
117248,2
692018,1
813376,1
834684,2
546314,0
876985,0
207998,1
110340,0
715656,-1
88611,2
716533,1
269830,1
661339,1
96822,-1
101833,0
548873,-1
432375,1
963943,2
105738,1
814952,1
933283,1
476266,2
713154,2
729178,1
739461,2
46459,0
564711,1
9295,-1
89381,-1
997108,1
434160,2
632113,0
349480,-1
981685,0
891296,-1
795819,-1
22856,2
176472,-1
760306,2
364909,2
593804,0
307467,1
610642,0
129662,0
569359,2
561862,0
423167,2
840583,-1
683275,-1
190548,1
958471,0
740052,-1
631040,1
976028,-1
990527,1
58802,-1
406698,2
166458,2
758638,2
864544,0
937863,1
839640,1
43118,1
554437,-1
24114,0
594987,1
2994,-1
983985,1
738824,2
578675,1
246789,0
459925,2
723464,2
939557,-1
962770,1
432283,0
295172,1
354011,1
917171,1
368282,1
799357,-1
218943,2
354686,-1
180377,0
979574,2
457365,1
